RT,SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FHICOVP,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB
P,840801,2,101,11,1001264,51,23,1,,1,2,2,2,2,2,,,2,,,,,,2,2,2,2,2,2,2,0,50,,10,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,13,0,1,,19,0,1,0,0,20000,35,1,1,1,,1,98,999,,2,,,1,0,,,2,1,8680,134,82,,100,11,6,722Z,1,,0,4030,,20000,20000,42,162,100,11,2,2,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,352021,,1
P,841628,1,103,11,1001264,72,56,1,,5,2,2,2,2,2,,2,2,,,2,,,1,2,2,2,2,1,2,0,20,,4,2,1,2,2,1,2,1980,1,2,1,1,1,0,0,0,0,0,0,3,5,3,3,3,0,0,0,0,1,,22,0,1,0,0,102000,45,1,1,1,,1,195,999,,2,,,1,1,1100,,1,1,9590,80,37,,,,2,928P,1,,0,430,,102000,102000,13,501,100,11,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,119XXX,2,1
P,841704,1,103,11,1001264,69,26,1,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,20,1,1,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,22,0,1,0,0,60000,42,1,1,1,,1,902,999,,2,1,,1,0,6206,,1,1,7390,98,55,,,,6,5416,1,,0,2000,,60000,60000,13,487,100,11,1,2,2,2,2,2,0,0,1,0,1,0,0,0,0,2,2,,,211010,,1
P,841704,2,103,11,1001264,103,26,1,,1,2,2,2,2,2,,,2,,,,,,1,1,2,2,2,2,2,0,46,1,1,2,5,,,,,,1,4,,,,,,,,,,2,1,2,2,3,0,0,12,0,1,,21,0,1,0,0,60000,40,1,1,1,,1,902,999,,2,1,,1,1,6207,,1,1,6870,103,55,,,,6,52M1,1,,0,4820,,60000,60000,48,487,1000,24,1,2,2,2,2,2,0,0,1,0,1,0,0,0,0,2,2,,,413031,,1
P,841782,1,102,11,1001264,8,54,1,,1,2,2,2,2,2,,,2,,,2,,,2,2,2,1,2,2,2,0,,,,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,17,0,1,,17,0,1,0,0,0,,2,,,,4,999,999,,2,,,6,0,,,1,24,7580,,,,1100,24,6,5613,1,,0,5850,,0,0,24,0,,,2,1,4,2,2,2,0,0,1,0,1,0,0,0,0,,,,,439051,,1
P,841837,1,105,11,1001264,31,29,1,,1,2,2,2,2,2,,,2,,2,,,,2,1,2,2,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0,0,0,0,3,16,22,0,2,0,0,0,,2,,2,,1,195,999,,2,,,6,0,2601,5505,1,1,8680,,,,,,6,722Z,1,,0,4110,4,0,0,2,0,,,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,353031,,1
P,842547,1,104,11,1001264,60,50,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,4,2,1,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,19,0,2,0,0,44000,40,1,1,1,,1,902,999,,2,2,,1,0,,,1,1,770,100,61,,,,6,23,1,,0,5120,4,44000,44000,11,290,100,11,1,2,4,2,2,2,0,0,1,0,1,0,0,0,0,,,,,433031,,1
P,842547,2,104,11,1001264,135,25,1,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,4,,9,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,2,0,1,,16,0,1,0,0,2000,18,1,1,1,,1,902,999,,2,,,1,0,,,1,1,770,140,90,,,,6,23,1,,0,5400,,2000,2000,11,290,100,11,1,2,2,2,2,2,0,0,1,0,1,0,0,0,0,,,,,434171,,1
P,842711,1,103,11,1001264,62,32,1,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,20,,4,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,0,1,0,0,95000,50,1,1,1,,1,32,999,,2,,,1,0,5506,,1,1,7390,104,61,,100,11,6,5416,1,,0,710,,95000,95000,18,501,100,11,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,131111,,1
P,842711,2,103,11,1001264,48,26,1,,2,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0,15,,10,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,13,0,1,,21,0,2,0,0,50000,40,1,1,1,,1,88,999,,2,,,1,0,5506,,1,1,9190,106,64,,,,6,8139Z,1,,0,726,4,50000,50000,42,406,100,11,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,131131,,1
